prompt,Data_address,Label,Related,problem type
"An IT company works on three different projects, viz. Web Development (Project A), Mobile App Development (Project B), and Data Analysis (Project C). There are three developers, viz. Dev1, Dev2, and Dev3, who are capable of working on any of the three projects. Developer Dev1 can complete u_11, u_12, and u_13 units of work on Projects A, B, and C, respectively. Developer Dev2 can complete u_21, u_22, and u_23 units of work on Projects A, B, and C, respectively. Developer Dev3 can complete u_31, u_32, and u_33 units of work on Projects A, B, and C, respectively. The profits from Projects A, B, and C are p_1, p_2, and p_3 dollars per unit, respectively. The task is to find the optimal assignment of developers to projects that maximizes profit. Let x_11, x_12, x_13 be 1 if Projects A, B, and C are assigned to Developer Dev1, respectively, and 0 otherwise. Let x_21, x_22, x_23 be 1 if Projects A, B, and C are assigned to Developer Dev2, respectively, and 0 otherwise. Let x_31, x_32, x_33 be 1 if Projects A, B, and C are assigned to Developer Dev3, respectively, and 0 otherwise.Units of work: u_11 = 50, u_12 = 30, u_13 = 25; u_21 = 45, u_22 = 60, u_23 = 90; u_31 = 60, u_32 = 50, u_33 = 40. Profits per unit: p_1 = 2, p_2 = 1, p_3 = 3.",,"Maximize 100x_11 + 30x_12 + 75x_13 + 90x_21 + 60x_22 + 270x_23 + 120x_31 + 50x_32 + 120x_33
subject to 
    x_11 + x_12 + x_13 = 1
    x_21 + x_22 + x_23 = 1
    x_31 + x_32 + x_33 = 1
    x_11 + x_21 + x_31 = 1
    x_12 + x_22 + x_32 = 1
    x_13 + x_23 + x_33 = 1
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {0,1}",,maximal assignment problem (the coefficients in the mathematical model is calculated by the numbers in the problem)
"Within a leading aerospace engineering firm, there are three pivotal project tasks: Jet Engine Design (Task A), Avionics Systems (Task B), and Propulsion Technology (Task C). The firm employs three top engineers, viz. Engineer1, Engineer2, and Engineer3, each capable of advancing any of these tasks. Engineer1 can contribute u_11, u_12, and u_13 hours to Tasks A, B, and C, respectively. Engineer2 can devote u_21, u_22, and u_23 hours to Tasks A, B, and C, respectively. Engineer3 is able to allocate u_31, u_32, and u_33 hours to Tasks A, B, and C, respectively. The potential breakthroughs and innovations from Tasks A, B, and C carry an estimated value of p_1, p_2, and p_3 dollars per hour, respectively. The task is to determine the optimal assignment of engineers to tasks to enhance project outcomes and innovation. Define x_11, x_12, x_13 as 1 if Tasks A, B, and C are assigned to Engineer1, respectively, and 0 otherwise. Define x_21, x_22, x_23 as 1 if Tasks A, B, and C are assigned to Engineer2, respectively, and 0 otherwise. Define x_31, x_32, x_33 as 1 if Tasks A, B, and C are assigned to Engineer3, respectively, and 0 otherwise.Hours allocated: u_11 = 60, u_12 = 40, u_13 = 35; u_21 = 55, u_22 = 70, u_23 = 85; u_31 = 65, u_32 = 55, u_33 = 50. Value per hour: p_1 = 10, p_2 = 8, p_3 = 12.",,"Maximize  600x_11 + 320x_12 + 420x_13 + 550x_21 + 560x_22 + 1020x_23 + 650x_31 + 440x_32 + 600x_33 

subject to

x_11 + x_12 + x_13 = 1,

x_21 + x_22 + x_23 = 1,

x_31 + x_32 + x_33 = 1,

x_11 + x_21 + x_31 = 1,

x_12 + x_22 + x_32 = 1,

x_13 + x_23 + x_33 = 1

x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {0,1}",,maximal assignment problem (the coefficients in the mathematical model is calculated by the numbers in the problem)
"Picture this: a vibrant music festival with three stages__ock and Roll Stage (Stage A), Jazz Lounge (Stage B), and Electronic Vibes (Stage C). Three enthusiastic stage managers, Sam, Jamie, and Alex, are all pumped up to bring their best game. Sam can set up u_11, u_12, and u_13 shows on Stages A, B, and C, respectively. Jamie is ready to handle u_21, u_22, and u_23 shows on Stages A, B, and C, respectively. Alex can rock u_31, u_32, and u_33 shows on Stages A, B, and C, respectively. The hype and ticket sales from Stages A, B, and C are expected to generate p_1, p_2, and p_3 dollars per show, respectively. The goal is to assign the stage managers so the festival is a hit, maximizing both enjoyment and revenue. Define x_11, x_12, x_13 as 1 if Stages A, B, and C are managed by Sam, respectively, and 0 otherwise. Define x_21, x_22, x_23 as 1 if Stages A, B, and C are managed by Jamie, respectively, and 0 otherwise. Define x_31, x_32, x_33 as 1 if Stages A, B, and C are managed by Alex, respectively, and 0 otherwise.Shows managed: u_11 = 50, u_12 = 40, u_13 = 30; u_21 = 60, u_22 = 70, u_23 = 80; u_31 = 70, u_32 = 60, u_33 = 50. Revenue per show: p_1 = 30, p_2 = 25, p_3 = 35.",,"Maximize 1500x_11 + 1000x_12 + 1050x_13 + 1800x_21 + 1750x_22 + 2800x_23 + 2100x_31 + 1500x_32 + 1750x_33
x_11 + x_12 + x_13 = 1
x_21 + x_22 + x_23 = 1
x_31 + x_32 + x_33 = 1
x_11 + x_21 + x_31 = 1
x_12 + x_22 + x_32 = 1
x_13 + x_23 + x_33 = 1
x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ {0,1}",,maximal assignment problem (the coefficients in the mathematical model is calculated by the numbers in the problem)
"Consider two cities, A and B. In city A, there is a factory that produces chocolate, which needs to be transported to a Walmart store located in city B. However, due to the absence of a direct route between A and B, the transportation vehicles must pass through other cities. The available routes involve passing through either city C or city D. The problem is to transport a total of 10 units of chocolate from city A to city B. The roads from city A to cities C and D can handle a maximum of c_11 and c_12 units of chocolate, respectively, and the transportation cost per unit on these routes is t_11 and t_12, respectively. Similarly, the roads from cities C and D to city B can handle a maximum of c_21 and c_22 units of chocolate, respectively, with transportation costs per unit being t_21 and t_22. The objective is to determine the optimal allocation of chocolate transportation that minimizes the total cost. The decision variables x_11 and x_12 represent the amount of chocolate transported on the roads from city A to cities C and D, respectively. The decision variables x_21 and x_22 represent the amount of chocolate transported on the roads from cities C and D to city B, respectively.capacity information: c_11 = 4, c_12 = 7, c_21 = 8, c_22 = 6; transportation cost per unit: t_11 = 5, t_12 = 7, t_21 = 8, t_22 = 5",,"Minimize 5x_11 + 7x_12 + 8x_21 + 5x_22
subject to 
    x_11 + x_12 = 10
    x_21 + x_22 = 10
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_11 <= 4
    x_12 <= 7
    x_21 <= 8
    x_22 <= 6
    x_11, x_12, x_21, x_22 ∈ R+",,minimum-cost flow problem
"Consider a scenario involving two research laboratories, L and M. Laboratory L is conducting a series of experiments and needs to send specialized samples to laboratory M for further analysis. Due to the lack of a direct transportation route between L and M, the samples must be routed through intermediate facilities. Specifically, the samples can be transported from laboratory L to laboratory M via either intermediate laboratory P or intermediate laboratory Q. A total of 10 units of samples need to be transported from laboratory L to laboratory M. The transportation routes from laboratory L to laboratories P and Q can each handle a maximum of c_11 and c_12 units of samples, respectively, with associated costs of t_11 and t_12 per unit. Similarly, the routes from laboratories P and Q to laboratory M can each accommodate a maximum of c_21 and c_22 units of samples, respectively, with costs of t_21 and t_22 per unit. The objective is to optimize the distribution of samples across these routes to minimize the total transportation cost. The decision variables x_11 and x_12 represent the amount of samples transported from laboratory L to laboratories P and Q, respectively. The decision variables x_21 and x_22 represent the amount of samples transported from laboratories P and Q to laboratory M, respectively.capacity information: c_11 = 7, c_12 = 4, c_21 = 6, c_22 = 8; transportation cost per unit: t_11 = 8, t_12 = 7, t_21 = 4, t_22 = 6",,"Minimize 8x_11 + 7x_12 + 4x_21 + 6x_22
subject to 
    x_11 + x_12 = 10
    x_21 + x_22 = 10
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_11 <= 7
    x_12 <= 4
    x_21 <= 6
    x_22 <= 8
     x_11, x_12, x_21, x_22 ∈ R+",,minimum-cost flow problem
"Consider two cities, X and Y. In city X, there is a manufacturer of textiles, which needs to be transported to a retail store located in city Y. However, there is no direct road connecting cities X and Y, so the delivery vehicles must pass through other intermediary cities. The potential intermediary cities are M, N, and O. The goal is to transport a total of 25 units of textiles from city X to city Y. The roads from city X to cities M, N, and O can handle a maximum of c_11, c_12, and c_13 units of textiles, respectively, and the transportation cost per unit on these routes is t_11, t_12, and t_13, respectively. Similarly, the roads from cities M, N, and O to city Y can handle a maximum of c_21, c_22, and c_23 units of textiles, respectively, with transportation costs per unit being t_21, t_22, and t_23. The objective is to determine the optimal allocation of textile transportation that minimizes the total cost. The decision variables x_11, x_12, and x_13 represent the amount of textiles transported on the roads from city X to cities M, N, and O, respectively. The decision variables x_21, x_22, and x_23 represent the amount of textiles transported on the roads from cities M, N, and O to city Y, respectively.Capacity Information: c_11 = 7, c_12 = 12, c_13 = 8, c_21 = 4, c_22 = 9, c_23 = 6 Transportation Cost Per Unit: t_11 = 24, t_12 = 19, t_13 = 21, t_21 = 26, t_22 = 30, t_23 = 23",,"Minimize 24x_11 + 19x_12 + 21x_13 + 26x_21 + 30x_22 + 23x_23
subject to
    x_11 + x_12 + x_13 = 25
    x_21 + x_22 + x_23 = 25
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_13 - x_23 = 0
    x_11 <= 7
    x_12 <= 12
    x_13 <= 8
    x_21 <= 4
    x_22 <= 9
    x_23 <= 6
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,minimum-cost flow problem
"Consider two cities, R and S. In city R, there is a farm that produces fresh produce, which needs to be transported to a supermarket chain located in city S. However, there is no direct road connecting cities R and S, so the delivery vehicles must pass through other intermediary cities. The potential intermediary cities are U, V, and W. The goal is to transport a total of 20 units of fresh produce from city R to city S. The roads from city R to cities U, V, and W can handle a maximum of c_11, c_12, and c_13 units of fresh produce, respectively, and the transportation cost per unit on these routes is t_11, t_12, and t_13, respectively. Similarly, the roads from cities U, V, and W to city S can handle a maximum of c_21, c_22, and c_23 units of fresh produce, respectively, with transportation costs per unit being t_21, t_22, and t_23. The objective is to determine the optimal allocation of fresh produce transportation that minimizes the total cost. The decision variables x_11, x_12, and x_13 represent the amount of fresh produce transported on the roads from city R to cities U, V, and W, respectively. The decision variables x_21, x_22, and x_23 represent the amount of fresh produce transported on the roads from cities U, V, and W to city S, respectively.Capacity Information: c_11 = 3, c_12 = 7, c_13 = 5, c_21 = 6, c_22 = 11, c_23 = 10 Transportation Cost Per Unit: t_11 = 18, t_12 = 30, t_13 = 16, t_21 = 20, t_22 = 34, t_23 = 29",,"Minimize 18x_11 + 30x_12 + 16x_13 + 20x_21 + 34x_22 + 29x_23
subject to 
    x_11 + x_12 + x_13 = 20
    x_21 + x_22 + x_23 = 20
    x_11 - x_21 = 0
    x_12 - x_22 = 0
    x_13 - x_23 = 0
    x_11 <= 3
    x_12 <= 7
    x_13 <= 5
    x_21 <= 6
    x_22 <= 11
    x_23 <= 10
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ R+",,minimum-cost flow problem
"In a well-known coffee shop, there are two signature drinks (D1 and D2), each bringing in a profit of w_1 and w_2 respectively. The demand for each drink varies independently. The coffee shop's goal is to decide which customer orders to fulfill during a specific busy period [0,10] to maximize the total expected revenue, based on the available ingredients. The current inventory for these drinks is c_1 and c_2 respectively. During this period, restocking is not possible, and no additional supplies are expected. Customers interested in ordering D1 and D2 arrive at the shop according to a Poisson process, with arrival rates a_1 and a_2 respectively. The decision variables y_1 and y_2 represent the number of orders the coffee shop plans to fulfill for each of the two drinks, and these variables must be positive integers.Profit information: w_1 = 30, w_2 = 19.8; Inventory information: c_1 = 72, c_2 = 68; Demand information: a_1 = 6, a_2 = 8.",,"Maximize 30y_1 + 19.8y_2
subject to
    y_1 <= 72
    y_2 <= 68
    y_1 <= 60
    y_2 <= 80
    y_1,y_2 ∈ Z+",,Network Revenue Management
"In a popular bakery, there are three specialty pastries (S1, S2, S3), each offering a profit of w_1, w_2, and w_3 respectively. The demand for each pastry is distinct and varies from customer to customer. The bakery's goal is to determine which customer orders to fulfill during a single busy morning to maximize the total revenue, based on the limited quantity of pastries available. The current stock for these pastries is c_1, c_2, and c_3 respectively. Restocking is not an option during this period, and no additional batches will be made. Customers looking to purchase P1, P2, and P3 arrive at the bakery according to a Poisson process, with arrival rates a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of orders the bakery plans to fulfill for each of the three pastries, and these must be positive integers.Profit information: w_1 = 20.5,w_2 = 8.8,w_3 = 29.7; Inventory information: c_1 = 48, c_2 = 71, c_3 =30; Demand information: a_1 = 31, a_2 = 80, a_3 = 29.",,"Maximize 20.5y_1 + 8.8y_2 + 29.7y_3
subject to 
    y_1 <= 48
    y_2 <= 71
    y_3 <= 30
    y_1 <= 31
    y_2 <= 80
    y_3 <= 29
    y_1, y_2, y_3 ∈ Z+",,Network Revenue Management
"There are three best-selling items (P1, P2, P3) on Amazon with the profit w_1,w_2,w_3.There is an independent demand stream for each of the products. The objective of the company is to decide which demands to be fufilled over a __ite sales horizon [0,10] to maximize the total expected revenue from __ed initial inventories. The on-hand inventories for the three items are c_1,c_2,c_3 respectively. During the sales horizon, replenishment is not allowed and there is no any in-transit inventories. Customers who want to purchase P1,P2,P3 arrive at each period accoring to a Poisson process with a_1,a_2,a_3 the arrival rates respectively. Decision variables y_1,y_2,y_3 correspond to the number of requests that the firm plans to fulfill for product 1,2,3. These variables are all positive integers.Profit information: w_1 = 20,w_2 = 10,w_3 = 30; Inventory information: c_1 = 50, c_2 = 70, c_3 =30; Demand information: a_1 = 3, a_2 = 8, a_3 = 2.",,"Maximize 20y_1 + 10y_2 + 30y_3
subject to 
    y_1 <= 50
    y_2 <= 70
    y_3 <= 30
    y_1 <= 30
    y_2 <= 80
    y_3 <= 20
    y_1, y_2, y_3 ∈ Z+",,Network Revenue Management
"There are three popular items (M1,M2, M3) in a local supermarket, each with a profit margin of w_1, w_2, and w_3 respectively. Each product has its own independent demand stream. The supermarket's goal is to determine which customer demands to meet over a fixed sales period [0,20] to maximize the total expected revenue based on the current stock levels. The inventory capacity for these three items is c_1, c_2, and c_3 respectively. During the sales period, restocking is not possible, and there are no goods currently being shipped. Customers who wish to buy P1, P2, and P3 arrive during each period following a Poisson process, with arrival rates of a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of requests the supermarket plans to fulfill for products 1, 2, and 3, respectively. These decision variables must be positive integers.Profit information: w_1 = 31,w_2 = 42,w_3 = 67; Inventory information: c_1 = 372, c_2 = 465, c_3 =892; Demand information: a_1 = 15, a_2 = 20, a_3 = 40.",,"Maximize 31y_1 + 42y_2 + 67y_3
subject to 
    y_1 <= 372
    y_2 <= 465
    y_3 <= 892
    y_1 <= 300
    y_2 <= 400
    y_3 <= 800
    y_1,y_2,y_3 ∈ Z+",,Network Revenue Management
"An investor is considering four different investment projects: x1, x2, x3, and x4. The expected returns for each project are 10%, 15%, 20%, and 25%, respectively, while the risk levels are 5, 10, 15, and 20, respectively. The investor has a total amount of $100,000 to invest, and due to certain investment strategy requirements, the funds must be allocated to all investment projects, but no more than half of the total amount can be allocated to any one project. Additionally, the investor wants to manage investment risks and has set the following constraints: - The total investment amount for x1 and x2 should be at least 25% of the total funds. - The total investment amount for x3 and x4 should not exceed 40% of the total funds. Now, the investor wants to maximize the expected returns of the investment portfolio while satisfying all constraints. How should the investment funds be allocated to achieve the maximum expected returns? # Response:",,"Maximize 0.10x_1 + 0.15x_2 + 0.20x_3 + 0.25x_4
x_1 + x_2 + x_3 + x_4 = 100,000
x_1 <= 50,000
x_2 <= 50,000
x_3 <= 50,000
x_4 <= 50,000
x_1 + x_2 >= 25,000
x_3 + x_4 <= 40,000
x_1, x_2, x_3, x_4 > 0",,Others
"A power company generates electricity from four different power plants: x1, x2, x3, and x4. The operating cost per unit of electricity for each power plant is 10, 20, 30, and 40 units, respectively. The company's goal is to minimize the total generation cost. Due to equipment availability and facility constraints, the sum of the power generation from plants x1 and x2 cannot exceed 1000 units. Similarly, due to personnel scheduling and maintenance requirements, the sum of the power generation from plants x3 and x4 cannot exceed 2000 units. In addition, there are constraints related to the power demand from different power plants: the power generation from plant x3 should be at least 500 units more than plant x1, and the power generation from plant x4 should be at least 300 units more than plant x2. Considering that each power plant has a specific upper limit on power generation (700 for x1, 800 for x2, 900 for x3, and 1000 for x4) due to capacity constraints of equipment and facilities, the power generation must be in integer units as the unit of electricity cannot be fractional. Given these conditions, the question is: what is the minimum total generation cost (in unit cost) required under the optimal power generation allocation? Please round your answer to the nearest integer. # Response:",,"Minimize 10x_1 + 20x_2 + 30x_3 + 40x_4
x_1 + x_2 <= 1000
x_3 + x_4 <= 2000
x_3 - x_1 >= 500
x_4 - x_2 >= 300
x_1 <= 700
x_2 <= 800
x_3 <= 900
x_4 <= 1000
x_1, x_2, x_3, x_4 ∈ Z+",,Others
"A heavy industry company plans to operate products on three production lines (Line A, Line B, Line C). The available time, unit production cost, unit production time, unit product revenue, safety requirements, and production capacity of each production line are shown in the table below: | Production Line | Available Time (hours) | Unit Production Cost (USD) | Unit Production Time (hours) | Unit Product Revenue (USD) | Safety Requirement (units) | Production Capacity (units/hour) | |-----------------|-----------------------|----------------------------|------------------------------|----------------------------|----------------------------|---------------------------------| | A | 10 | 5 | 1 | 10 | 2 | 20 | | B | 8 | 6 | 2 | 15 | 3 | 15 | | C | 12 | 7 | 3 | 20 | 4 | 10 | The company's goal is to maximize the total daily revenue while minimizing the total production cost and meeting all safety requirements. In addition, you need to consider the following constraints: - The production time for each production line cannot exceed the available time. - The production volume for each production line cannot exceed its production capacity. - The safety requirements for each production line must be met. How should the company allocate production tasks to achieve the optimization goal while meeting all constraints? # Response:",,"Maximize 5x_A + 9x_B + 13x_C
x_A <= 10
2x_B <= 8
3x_C <= 12
2 <= x_A <= 20
3 <= x_B <= 15
4 <= x_C <= 10
x_A, x_B, x_C >= 0",,Others
"An education department official wants to bring internet education resources to four schools in rural areas. The number of students in these four schools are $x_1, x_2, x_3$, and $x_4$ respectively. The costs of infrastructure equipment such as computers and internet access for these schools are 10, 20, 30, and 40 units per student respectively. The goal is to maximize the efficiency of education resource utilization while satisfying certain constraints due to budget limitations and infrastructure capacity. Due to budget limitations, the combined allocation of resources for schools $x_1$ and $x_2$ cannot exceed 1000 units. Similarly, due to equipment limitations, the combined allocation for schools $x_3$ and $x_4$ cannot exceed 2000 units. In addition, there are constraints related to the number of students in different schools: The allocation for school $x_3$ should be at least 500 units more than that for school $x_1$. Similarly, the allocation for school $x_4$ should be at least 300 units more than that for school $x_2$. Given these conditions and the goal of integer resource allocation (as the number of students is an integer), as well as individual upper limits on resource allocation for each school (700 for school $x_1$, 800 for school $x_2$, 900 for school $x_3$, and 1000 for school $x_4$), the question is: Given the optimal resource allocation, what is the maximum education resource utilization efficiency (in units of efficiency)? Please round your answer to the nearest integer. # Response:",,"Maximize 10x_1 + 20x_2 + 30x_3 + 40x_4
x_1 + x_2 <= 1000
x_3 + x_4 <= 2000
x_3 - x_1 >= 500
x_4 - x_2 >= 300
x_1 <= 700
x_2 <= 800
x_3 <= 900
x_4 <= 1000
x_1,x_2,x_3,x_4 \in Z^+",,Others
"Assume you are a park manager and your task is to determine how to allocate the park's green space resources to maximize the park's ecosystem service value. The park has three main types of green spaces: grassland, woodland, and wetland. The contribution of each green space type to the park's ecosystem service value, the maintenance cost for each green space type, and the minimum and maximum area limits for each green space type are shown in the table below: | Green Space Type\Indicator | Ecosystem Service Value | Maintenance Cost | Minimum Area | Maximum Area | |---------------------------|------------------------|------------------|--------------|--------------| | Grassland | 5 | 2 | 10 | 50 | | Woodland | 7 | 3 | 20 | 60 | | Wetland | 9 | 4 | 30 | 70 | The park has a total of 100 acres of land available for allocation to these three green space types. Your goal is to maximize the park's ecosystem service value while satisfying all the green space area limits and the total area limit. The question is: How should the park's green space resources be allocated to maximize the park's ecosystem service value while satisfying the above conditions? # Response:",,"Maximize 3x_1 + 4x_2 + 5x_3
10 <= x_1 <= 50
20 <= x_2 <= 60
30 <= x_3 <= 70
x_1 + x_2 + x_3 = 100
x_1, x_2, x_3 >= 0",,Resource Allocation Problem
"An urban planner is designing a new urban area and plans to construct four types of buildings in the area: residential ($x1$), commercial facilities ($x2$), schools ($x3$), and parks ($x4$). The construction costs for each type of building are $x1$ = $500,000, $x2$ = $1,000,000, $x3$ = $1,500,000, and $x4$ = $2,000,000. Due to urban planning requirements, the following constraints must be satisfied: - The total number of residential and commercial buildings cannot exceed 100. - The total number of schools and parks cannot be less than 50. - The number of commercial facilities must be at least 20% of the number of residential buildings. - The number of schools cannot exceed 50% of the number of parks. Considering the budget constraint, the urban planner has a budget of $20,000,000. The number of buildings must be integers as we cannot construct fractional buildings. The problem is: How should the quantities of each type of building be planned to minimize the total construction cost while satisfying the budget and all constraints? What is the minimum total construction cost in millions of dollars, rounded to the nearest integer? # Response:",,"Minimize 500,000x_1 + 1,000,000x_2 + 1,500,000x_3 + 2,000,000x_4
x_1 + x_2 <= 100
x_3 + x_4 >= 50
x_2 >= 0.2x_1
x_3 <= 0.5x_4
50x_1 + 100x_2 + 150x_3 + 200x_4 <= 20,000,000
x_1, x_2, x_3, x_4 >= 0",,Resource Allocation Problem
"A telecommunications company is working on optimizing its customer service processes to improve user experience and customer satisfaction. The company has 5 different service channels: phone, email, SMS, online chat, and social media. Each channel has a different service quality and cost. Specifically, the service qualities for each channel are 0.9 for phone, 0.8 for email, 0.7 for SMS, 0.6 for online chat, and 0.5 for social media; and the costs for each channel are 10 yuan for phone, 8 yuan for email, 6 yuan for SMS, 4 yuan for online chat, and 2 yuan for social media. The company plans to allocate a budget of 10,000 yuan to these 5 service channels to meet the following service requirements: at least 2,000 yuan for phone, at least 1,500 yuan for email, at least 1,000 yuan for SMS, at least 500 yuan for online chat, and at least 300 yuan for social media. The goal is to allocate the budget in a way that maximizes the overall service quality while meeting the service requirements and budget constraints. How should the budget be allocated to achieve the optimal service quality? # Response:",,"Maximize 0.9x_1 + 0.8x_2 + 0.7x_3 + 0.6x_4 + 0.5x_5
x_1 >= 2000
x_2 >= 1500
x_3 >= 1000
x_4 >= 500
x_5 >= 300
10x_1 +8x_2 + 6x_3 + 4x_4 + 2x_5 = 10000
x_1, x_2, x_3, x_4, x_5 >= 0",,Resource Allocation Problem
"A manufacturing company produces two products: A and B. Both products require two resources: raw materials and labor. Producing one unit of product A requires 3 units of raw materials and 2 units of labor, while producing one unit of product B requires 2 units of raw materials and 3 units of labor. The company has 100 units of raw materials and 90 units of labor available for production each day. Due to market demand, the minimum daily production quantities for product A and product B are 20 units and 15 units, respectively. The profit per unit for product A is 5 units, and the profit per unit for product B is 6 units. The company's goal is to maximize the total profit per day. What should the company's daily production plan be to achieve maximum total profit? Please write a linear programming model to solve for the optimal production plan and calculate the maximum total profit per day. # Response:",,"Maximize 5x_A + 6x_B
3x_A + 2x_B <= 100
2x_A + 3x_B <= 90
x_A >= 20
x_B >= 15",,Resource Allocation Problem
"A mobile payment company is considering how to allocate its resources to optimize system security and user experience. The company has two types of resources available for allocation: security experts and UI designers, with costs of $x1 = 100$ and $x2 = 80$ dollars per hour, respectively. The company needs to handle four types of tasks each day: risk detection, security auditing, UI design, and user feedback analysis, with minimum resource requirements of $N1 = 5$, $N2 = 3$, $N3 = 2$, and $N4 = 1$, respectively. The allocation must comply with the following constraints: - The total working time for security experts cannot exceed 8 hours. - The total working time for UI designers cannot exceed 10 hours. - All task requirements must be met within a reasonable time frame. Assuming that each person works an integer number of hours on each task, the problem becomes how to allocate the working time for these two types of personnel to minimize the company's total operational cost. # Response:",,"Minimize 100(x_11+x_12+x_13+x_14) + 80(x_21+x_22+x_23+x_24)
x_11 + x_21 >= 5
x_12 + x_22 >= 3
x_13 + x_23 >= 2
x_14 + x_24 >= 1
x_11 + x_12+x_13+x_14 <= 8
x_21+x_22+x_23+x_24 <= 10
x_11, x_12, x_13, x_14, x_21, x_22, x_23, x_24  ∈ Z+",,Resource Allocation Problem
"A travel agency is planning to allocate resources for three different tourist routes: x1, x2, and x3. These routes may include different cities, attractions, and activities. The goal is to minimize the total cost associated with these routes, with costs of $100 for x1, $150 for x2, and $200 for x3. The allocation must comply with the following constraints set due to budget and resource limitations: 1. The total number of visitors for routes x1 and x2 cannot exceed 500. 2. The total number of visitors for routes x2 and x3 must be at least 300. 3. The difference in the number of visitors between routes x3 and x1 cannot exceed 100. Considering that each tourist route has specific limits on the number of visitors (x1: 100-500, x2: 50-400, x3: 0-300), due to the travel agency's operational capacity or policy regulations. Since all values are integers, as we cannot have fractional numbers of visitors, what is the travel agency's minimum total cost, rounded to the nearest dollar, for the optimal allocation of visitors among the three routes within the specified ranges? # Response:",,"Minimize 100x_1 + 150x_2 + 200x_3
x_1 + x_2 <= 500
x_2 + x_3 >= 300
-100 <= x_3 - x_1 <= 100
100 <= x_1 <= 500
50 <= x_2 <= 400
0 <= x_3 <= 300
x_1, x_2, x_3  ∈  Z^+",,Resource Allocation Problem
"A logistics compnay EW needs to load three types of of products, M1,M2,M3 into a fleet of delivery trucks. To be more specific, there are two trucks T1,T2. Each truck has a specific weight capacity c_1,c_2 , and each product has a predefined value v_1,v_2,v_3 and a particular weight w_1,w_2,w_3. The objective is to determine how many units of each product to load into each truck so that the total value of the products loaded across all trucks can be maximized and the total weight of the products loaded in each truck does not exceed the truck's weight capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of product M1,M2,M3 loaded into the truck T1,T2. For example, x_12 denotes the specific number of product M2 carried by the truck T1. Value information: v_1 = 10, v_2 = 20, v_3 = 8; Capacity information: c_1 = 25, c_2 = 30; Weight information: w_1 = 5, w_2 = 6, w_3 = 2.",,"Maximize 10x_11 + 20x_12 + 8x_13 + 10x_21 + 20x_22 + 8x_23
subject to 
    5x_11 + 6x_12 + 2x_13 <= 25
    5x_21 + 6x_22 + 2x_23 <= 30
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Resource Allocation Problem
"A healthcare logistics company, HS, needs to distribute three types of medical supplies M1,M2, M3 to two regional medical centers R1 and R2. Each center has a specific storage capacity, denoted as c_2,c_2. Each supply type has a predefined profit p_1,p_2,p_3 and a specific weight w_1,w_2,w_3. The goal is to determine the number of units of each medical supply to be delivered to and between the centers in such a way that the total value of supplies is maximized, while ensuring that the weight of supplies at each center does not exceed its capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of medical supplies M1,M2,M3 distributed into the regional medical centers R1,R2. Profit information: p_1 = 15, p_2 = 25, p_3 = 10; Capacity information: c_1 = 200, c_2 = 250; Weight information: w_1 = 3, w_2 = 4, w_3 = 2.",,"Maximize 15x_11 + 25x_12 + 10x_13 + 15x_21 + 25x_22 + 10x_23
subject to 
3x_11 + 4x_12 + 2x_13 <= 200
3x_21 + 4x_22 + 2x_23 <= 250
x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Resource Allocation Problem
"An e-commerce company needs to allocate warehouse space for three product lines, L1, L2, and L3, across two warehouses W1 and W2. Each warehouse has a storage capacity c_1, c_2, and each product line has a value r_1, r_2, r_3 and a required space s_1, s_2, s_3. The objective is to determine how many units of each product line to store in each warehouse to maximize revenue without exceeding storage capacity. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of product lines L1, L2, and L3 stored in warehouses W1 and W2. For example, x_12 denotes the units of product line L2 stored in warehouse W1.Revenue information: r_1 = 45, r_2 = 50, r_3 = 35; Capacity information: c_1 = 400, c_2 = 450; Space information: s_1 = 10, s_2 = 15, s_3 = 5.",,"Maximize 45x_11 + 50x_12 + 35x_13 + 45x_21 + 50x_22 + 35x_23
subject to: 
    10x_11 + 15x_12 + 5x_13 <= 400
    10x_21 + 15x_22 + 5x_23 <= 450
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Resource Allocation Problem
