Food,Calories,Protein(g),Fat(g),VitaminC(mg),Cost
Veg_002,54,4,0.5,74.4,0.28
Veg_003,34,2.1,0.5,49.7,0.64
Veg_004,71,2.6,0.2,58.7,0.2
Veg_005,59,3.1,0.9,73.1,0.63
Veg_006,25,3.6,0.1,58.1,0.14
Veg_007,44,2.3,0.5,43.8,0.8
Veg_008,37,4,0.8,34,0.17
Veg_009,21,4,0.1,114.5,0.28
Veg_010,24,4.1,0.7,91.7,0.86
Veg_011,32,4.4,0.6,32.4,0.48
Veg_012,27,3.3,0.2,85.4,0.71
Veg_013,30,3.4,1,87.6,0.72
Veg_014,30,4.9,0.1,8,0.35
Veg_015,63,4.6,0.4,113.3,0.26
Veg_016,57,3.8,0.6,16.7,0.72
